13604412,41092,4
13604412,41094,2
13604412,48240,2
13604412,48430,3
13604412,31251,5
13604412,31257,3
13604412,41039,5
13604412,68037,2
13604412,31271,5
13604412,31282,2
13604412,33230,3
13604412,48024,5
13604412,31269,4
13604412,33130,4
13604412,48023,4
13604412,48230,2
13571854,48230,2
13571854,48023,3
13571854,33130,3
13571854,31269,3
13571854,48024,5
13571854,33230,3
13571854,31282,2
13571854,31271,3
13571854,68037,4
13571854,41093,4
13571854,41035,2
13571854,31257,3
13571854,31251,5
13571854,48240,3
13571854,41113,5
13571854,41094,5
13571854,31927,5
13571854,41037,2
13571854,41036,2
13223894,31260,3
13223894,31262,5
13223894,41038,1
13223894,41082,3
13223894,49275,3
13223894,31263,5
13223894,41094,3
13223894,48250,2
13223894,48433,3
13223894,31253,3
13223894,31257,3
13223894,41092,3
13223894,48240,2
13223894,41035,1
13223894,41036,1
13223894,41037,1
13223894,31251,5
13223894,41093,3
13223894,68037,3
13223894,31271,3
13223894,31282,3
13223894,33230,3
13223894,48024,4
13223894,31269,3
13223894,33130,3
13223894,48023,3
13223894,48230,3
13273747,31269,2
13273747,33130,3
13273747,48023,2
13273747,48024,5
13273747,31271,4
13273747,48230,1
13273747,31282,1
13273747,31251,5
13273747,31250,5
13273747,31266,2
13273747,41092,3
13273747,37181,4
13273747,41113,5
13273747,41080,4
13273747,41078,3
13273747,42028,4
13273747,31268,2
13273747,31272,2
13273747,48433,2
13273747,41025,2
13273747,48240,2
13273747,41038,1
13273747,41029,2
13273747,41095,4
13273747,41096,5
13273747,41114,5
13273747,41098,4
11223344,41095,5
11223344,32555,3
11223344,41113,5
11223344,41082,4
11223344,31251,5
11223344,41094,4
11223344,41098,4
13222222,31262,5
13222222,31263,4
13222222,31262,4
